State,url,rule,name
Arunachal Pradesh,https://arunachaltourism.com,arunachaltourism,Arunachal_Pradesh
Assam,https://tourism.assam.gov.in,tourism,Assam
Goa,https://goa-tourism.com,goa-tourism,Goa
Himachal Pradesh,https://himachaltourism.gov.in,himachaltourism,Himachal_Pradesh
Jammu & Kashmir,https://jammutourism.gov.in,jammutourism,Jammu_and_Kashmir
Karnataka,https://karnatakatourism.org,karnatakatourism,Karnataka
Kerala,https://keralatourism.org,keralatourism,Kerala
Maharashtra,https://maharashtratourism.gov.in,maharashtratourism,Maharashtra
Delhi,https://delhitourism.gov.in,delhitourism,Delhi
Punjab,https://punjabtourism.punjab.gov.in,punjabtourism,Punjab
Tamil Nadu,https://tamilnadutourism.org,tamilnadutourism,Tamil_Nadu
Uttar Pradesh,https://uptourism.gov.in,uptourism,Uttar_Pradesh
